Id,SalePrice
1461,119800.14982201032
1462,166025.6713125344
1463,186993.48021808823
1464,188340.4898923552
1465,193232.3460687953
1466,175675.14096322612
1467,177502.4027540234
1468,167004.46993620772
1469,182274.8242338264
1470,123031.73762930861
1471,205087.96804189988
1472,92415.90684879088
1473,97613.62370467959
1474,155562.7387381435
1475,125344.09021065618
1476,402868.72208326135
1477,272056.3582156134
1478,291730.2000653793
1479,284909.7269146788
1480,507291.6276948265
1481,337001.1402853147
1482,201302.26298551838
1483,175460.45338572675
1484,166417.8482668005
1485,176025.28332134784
1486,189674.67760926866
1487,350671.26287185744
1488,239651.03109820627
1489,191724.00674972666
1490,205531.49364435082
1491,188063.08952486908
1492,78006.62510523332
1493,174377.92878352595
1494,284450.24081304664
1495,305416.56034028414
1496,229866.92200883297
1497,178496.05991937374
1498,154381.22542152504
1499,157857.24114902853
1500,143978.88643188347
1501,160855.1858922136
1502,149107.31399169654
1503,329339.9918899516
1504,235735.26955890073
1505,223755.15996155492
1506,193761.83225913535
1507,227453.19129932547
1508,192461.00130782934
1509,160684.76067674585
1510,142385.7918880614
1511,141836.22533687094
1512,167229.6133425469
1513,148102.239094084
1514,169120.61780138564
1515,202792.59413888314
1516,157134.5750259264
1517,156850.19698045973
1518,138436.29004502366
1519,227436.80216731312
1520,135053.28169518037
1521,134336.40867792442
1522,162812.59524502372
1523,115736.53397191281
1524,125802.7703695662
1525,123761.10693182498
1526,120241.42382408104
1527,108391.6482420521
1528,127767.6264816908
1529,149220.92089422725
1530,176297.36204206044
1531,106659.62296860547
1532,97691.08771394382
1533,144312.07717345256
1534,119786.60201850554
1535,165392.33120516842
1536,107039.7185531233
1537,73128.07846928295
1538,171257.79773591115
1539,189841.5056259949
1540,101207.59074971692
1541,144706.64640740535
1542,142743.9478930177
1543,232459.75648364663
1544,77608.77660561862
1545,113671.93858369906
1546,123284.61359032783
1547,129107.24136906491
1548,129947.37340657254
1549,110137.8405502526
1550,138834.3888006803
1551,119409.77692341058
1552,132609.9218589348
1553,147896.12625751283
1554,101676.62031443095
1555,162896.11783368833
1556,78309.73303835509
1557,112564.27428196413
1558,95211.97114961011
1559,98691.14913470944
1560,134042.70448603295
1561,151221.2803615339
1562,127897.75596246809
1563,122914.2397965641
1564,169516.61279980524
1565,143847.7559192888
1566,223491.56329978176
1567,75156.49141271535
1568,211616.65292046647
1569,146220.7712210091
1570,129083.22931088196
1571,117824.66663308586
1572,148440.46878667385
1573,284362.04504111945
1574,129765.09229610096
1575,220629.5287390058
1576,226280.64231497722
1577,190067.22312459297
1578,142380.1661540478
1579,154742.2658115158
1580,192938.22735552717
1581,145941.89508012726
1582,130815.99511163299
1583,364596.75983387383
1584,236230.72088651784
1585,141989.6795438793
1586,87551.33995524258
1587,101934.20545401047
1588,142809.40453659414
1589,106280.18553031636
1590,147606.72735179143
1591,93064.76308365678
1592,131355.66421608004
1593,128043.90815070542
1594,118962.85273786161
1595,128811.36098479797
1596,252268.0574421283
1597,194461.79084185668
1598,208097.74709564392
1599,192154.11110147
1600,183049.43812479897
1601,84981.78689223895
1602,111133.19083650684
1603,88928.22494355634
1604,282670.19398865214
1605,239191.91151835216
1606,174046.93175959052
1607,139038.05734470792
1608,202319.40304003807
1609,188099.47797863648
1610,148893.0152859652
1611,146128.75760252308
1612,173884.46528035443
1613,169407.39005681055
1614,121902.50694969732
1615,81602.23154537566
1616,69736.05502131316
1617,93966.54873208507
1618,127601.27817734613
1619,130886.30387046412
1620,165314.44147987952
1621,145863.5340632552
1622,141331.67190257215
1623,279699.01466356334
1624,209953.7828845468
1625,124489.15250260524
1626,162093.66186594372
1627,185005.40429199298
1628,272448.2383443598
1629,169436.67271345618
1630,394898.85713603155
1631,224310.7846283906
1632,248438.51471648779
1633,167474.34345475567
1634,182963.89596712822
1635,177740.6250562729
1636,157260.78504495148
1637,187886.6195743616
1638,188510.10572549948
1639,177560.1709461233
1640,266595.64376612456
1641,173350.22681806842
1642,226480.1226657313
1643,224447.0842511283
1644,225534.99430814016
1645,181951.57786593033
1646,154687.23490383025
1647,155588.90881122547
1648,135833.12047649658
1649,137608.8584087973
1650,119045.57240920512
1651,124978.46127556602
1652,95317.38204178581
1653,97208.10346680923
1654,151688.52669085815
1655,149039.0304126537
1656,154572.70872239678
1657,154565.57365120374
1658,149903.4047026836
