,0
0,208499.99999999983
1,181500.00000000006
2,223500.0
3,139999.9999999999
4,249999.9999999998
5,143000.0000000001
6,306999.99999999994
7,199999.99999999997
8,129900.00000000012
9,118000.00000000009
10,129500.00000000006
11,344999.9999999997
12,144000.0
13,279499.9999999999
14,156999.99999999994
15,131999.9999999999
16,149000.0
17,90000.00000000001
18,158999.99999999997
19,139000.00000000003
20,325299.9999999999
21,139400.00000000006
22,230000.0000000001
23,129900.00000000012
24,153999.99999999988
25,256299.99999999997
26,134800.0000000001
27,305999.9999999998
28,207500.0000000001
29,68499.99999999999
30,40000.0
31,149349.99999999994
32,179900.00000000006
33,165499.99999999988
34,277500.0000000001
35,309000.00000000006
36,145000.00000000012
37,152999.9999999999
38,109000.0
39,82000.0
40,159999.99999999997
41,170000.00000000012
42,144000.0
43,130249.9999999999
44,140999.99999999994
45,319899.99999999994
46,239685.99999999997
47,249700.00000000017
48,112999.99999999993
49,126999.99999999991
50,177000.00000000006
51,114499.99999999991
52,109999.99999999991
53,385000.00000000023
54,130000.00000000009
55,180500.0
56,172499.99999999985
57,196499.99999999997
58,438779.9999999998
59,124899.99999999993
60,157999.99999999997
61,101000.00000000003
62,202500.00000000012
63,139999.9999999999
64,219500.00000000012
65,316999.9999999999
66,180000.00000000003
67,225999.9999999998
68,80000.0
69,225000.00000000015
70,244000.00000000003
71,129500.00000000006
72,185000.00000000006
73,144900.00000000012
74,107400.00000000001
75,91000.00000000009
76,135750.00000000012
77,126999.99999999991
78,136500.00000000006
79,109999.99999999991
80,193499.99999999985
81,153500.0
82,244999.99999999997
83,126500.00000000006
84,168500.0
85,259999.9999999998
86,173999.99999999997
87,164500.00000000012
88,84999.99999999996
89,123600.00000000003
90,109900.00000000003
91,98600.00000000003
92,163499.99999999988
93,133899.99999999997
94,204750.00000000006
95,185000.00000000006
96,214000.00000000017
97,94749.99999999994
98,83000.0
99,128950.00000000006
100,205000.0
101,177999.99999999994
102,118964.0000000001
103,198899.99999999997
104,169499.99999999985
105,249999.9999999998
106,100000.00000000004
107,114999.99999999991
108,114999.99999999991
109,189999.9999999999
110,136900.0000000001
111,180000.00000000003
112,383970.0000000003
113,217000.00000000012
114,259499.99999999985
115,176000.00000000006
116,139000.00000000003
117,155000.00000000012
118,320000.00000000006
119,163990.00000000015
120,180000.00000000003
121,100000.00000000004
122,135999.99999999997
123,153899.99999999988
124,181000.00000000006
125,84499.99999999994
126,127999.99999999997
127,86999.99999999994
128,155000.00000000012
129,150000.00000000006
130,225999.9999999998
131,244000.00000000003
132,150750.0
133,219999.99999999983
134,180000.00000000003
135,173999.99999999997
136,143000.0000000001
137,171000.00000000012
138,230000.0000000001
139,231500.00000000006
140,114999.99999999991
141,259999.9999999998
142,166000.00000000003
143,203999.99999999985
144,124999.9999999999
145,130000.00000000009
146,104999.99999999997
147,222499.99999999988
148,140999.99999999994
149,114999.99999999991
150,122000.00000000003
151,372401.9999999999
152,189999.9999999999
153,235000.0
154,124999.9999999999
155,79000.00000000006
156,109499.99999999991
157,269499.9999999999
158,254900.0000000001
159,320000.00000000006
160,162500.00000000012
161,412500.00000000006
162,219999.99999999983
163,103200.00000000009
164,152000.00000000006
165,127500.00000000001
166,189999.9999999999
167,325623.9999999999
168,183500.00000000006
169,228000.00000000003
170,128500.00000000004
171,215000.0
172,239000.00000000003
173,162999.99999999988
174,184000.00000000015
175,243000.00000000003
176,210999.99999999994
177,172499.99999999985
178,501837.00000000023
179,100000.00000000004
180,177000.00000000006
181,200100.00000000017
182,120000.00000000004
183,199999.99999999997
184,126999.99999999991
185,474999.99999999977
186,172999.9999999999
187,134999.99999999997
188,153337.00000000003
189,286000.00000000023
190,315000.0000000002
191,184000.00000000015
192,191999.99999999997
193,130000.00000000009
194,126999.99999999991
195,148499.99999999988
196,311872.00000000006
197,235000.0
198,104000.00000000003
199,274900.00000000006
200,139999.9999999999
201,171500.0
202,112000.00000000004
203,149000.0
204,109999.99999999991
205,180500.0
206,143900.00000000003
207,140999.99999999994
208,276999.9999999998
209,145000.00000000012
210,98000.00000000003
211,186000.00000000012
212,252678.00000000023
213,156000.0
214,161750.00000000003
215,134450.0
216,210000.0
217,107000.00000000003
218,311500.0000000001
219,167240.00000000015
220,204899.99999999985
221,199999.99999999997
222,179900.00000000006
223,96999.99999999999
224,386250.0000000001
225,112000.00000000004
226,289999.9999999999
227,106000.00000000001
228,124999.9999999999
229,192499.99999999997
230,148000.00000000015
231,402999.9999999999
232,94499.99999999996
233,128199.99999999996
234,216500.00000000006
235,89500.00000000003
236,185499.99999999994
237,194500.0
238,318000.0
239,112999.99999999993
240,262500.00000000023
241,110500.00000000001
242,79000.00000000006
243,120000.00000000004
244,205000.0
245,241500.0
246,136999.9999999999
247,139999.9999999999
248,180000.00000000003
249,276999.9999999998
250,76499.99999999996
251,235000.0
252,172999.9999999999
253,157999.99999999997
254,145000.00000000012
255,230000.0000000001
256,207500.0000000001
257,219999.99999999983
258,231500.00000000006
259,96999.99999999999
260,176000.00000000006
261,276000.0000000002
262,151000.00000000006
263,130000.00000000009
264,73000.00000000003
265,175500.0
266,185000.00000000006
267,179500.00000000015
268,120499.99999999996
269,148000.00000000015
270,265999.9999999998
271,241500.0
272,289999.9999999999
273,139000.00000000003
274,124500.00000000003
275,205000.0
276,200999.99999999997
277,140999.99999999994
278,415298.0000000002
279,191999.99999999997
280,228500.00000000003
281,185000.00000000006
282,207500.0000000001
283,244600.00000000006
284,179200.0000000001
285,164700.0000000001
286,158999.99999999997
287,87999.99999999996
288,122000.00000000003
289,153575.0
290,233230.0000000001
291,135900.0000000001
292,130999.99999999997
293,235000.0
294,167000.0000000001
295,142500.00000000012
296,152000.00000000006
297,239000.00000000003
298,175000.00000000012
299,158499.99999999997
300,156999.99999999994
301,267000.0
302,205000.0
303,149900.0
304,294999.9999999998
305,305899.99999999977
306,225000.00000000015
307,89500.00000000003
308,82500.00000000001
309,360000.0000000001
310,165600.0000000001
311,131999.9999999999
312,119899.9999999999
313,375000.00000000006
314,177999.99999999994
315,188500.00000000003
316,259999.9999999998
317,270000.00000000006
318,259999.9999999998
319,187500.0
320,342643.0000000001
321,353999.99999999977
322,301000.00000000023
323,126174.9999999999
324,242000.00000000017
325,86999.99999999994
326,323999.9999999999
327,145249.99999999994
328,214499.99999999985
329,77999.99999999994
330,118999.99999999993
331,139000.00000000003
332,284000.00000000023
333,206999.99999999994
334,191999.99999999997
335,228949.99999999988
336,377426.0000000002
337,214000.00000000017
338,202500.00000000012
339,155000.00000000012
340,202900.0000000001
341,82000.0
342,87500.00000000007
343,265999.9999999998
344,84999.99999999996
345,140200.00000000003
346,151499.99999999997
